#Name
#top incisors
#top canines
#top premolars
#top molars
#bottom incisors
#bottom canines
#bottom premolars
#bottom molars
#weight
#Label: 0=herbivore, 1=carnivore, 2 = omnivore
アナグマ,3,1,3,1,3,1,3,2,10,1
クマ,3,1,4,2,3,1,4,3,278,2
クーガー,3,1,3,1,3,1,2,1,63,1
ウシ,0,0,3,3,3,1,2,1,400,0
シカ,0,0,3,3,4,0,3,3,200,0
イヌ,3,1,4,2,3,1,4,3,20,1
キツネ,3,1,4,2,3,1,4,3,5,1
オットセイ,3,1,4,1,2,1,4,1,200,1
ハイイロアザラシ,3,1,3,2,2,1,3,2,268,1
モルモット,1,0,1,3,1,0,1,3,1,0
エルク,0,1,3,3,3,1,3,3,500,0
ヒト,2,1,2,3,2,1,2,3,150,2
ジャガー,3,1,3,1,3,1,2,1,81,1
カンガルー,3,1,2,4,1,0,2,4,55,0
ライオン,3,1,3,1,3,1,2,1,175,1
ミンク,3,1,3,1,3,1,3,2,1,1
モグラ,3,1,4,3,3,1,4,3,0.75,1
ムース,0,0,3,3,4,0,3,3,900,0
マウス,1,0,0,3,1,0,0,3,0.3,2
ヤマアラシ,1,0,1,3,1,0,1,3,3,0
ブタ,3,1,4,3,3,1,4,3,50,2
ウサギ,2,0,3,3,1,0,2,3,1,0
アライグマ,3,1,4,2,3,1,4,2,40,2
ラット,1,0,0,3,1,0,0,3,.75,2
コウモリ,1,1,2,3,3,1,2,3,1,1
アシカ,3,1,4,1,2,1,4,1,415,1
スカンク,3,1,3,1,3,1,3,2,2,2
リス,1,0,2,3,1,0,1,3,2,2
ウッドチャック,1,0,2,3,1,0,1,3,4,2
オオカミ,3,1,4,2,3,1,4,3,27,1
